SCORE:	binder_aligned_rmsd	pae_binder	pae_interaction	pae_target	plddt_binder	plddt_target	plddt_total	target_aligned_rmsd	time	description	successful
SCORE:	0.537	2.293	4.865	3.473	93.169	94.811	94.168	1.703	11.256	5o45-200by5_154_dldesign_2_af2pred	True
SCORE:	0.44	2.427	4.869	3.658	93.867	94.652	94.366	1.473	10.795	5o45-200by5_173_dldesign_2_af2pred	True
SCORE:	0.537	2.245	4.876	3.514	93.678	94.257	94.011	1.888	11.844	5o45-200by5_121_dldesign_4_af2pred	True
SCORE:	0.497	1.918	4.882	3.305	96.176	95.281	95.672	1.8	11.959	5o45-200by5_23_dldesign_0_af2pred	True
SCORE:	0.721	2.735	4.891	3.572	93.668	94.779	94.388	4.792	10.432	5o45-200by5_71_dldesign_3_af2pred	True
SCORE:	0.416	2.447	4.899	3.591	93.846	94.586	94.286	2.078	12.371	5o45-200by5_15_dldesign_2_af2pred	True
SCORE:	0.533	2.091	4.9	3.485	94.784	94.851	94.823	0.85	11.643	5o45-200by5_141_dldesign_3_af2pred	True
SCORE:	0.735	2.678	4.97	3.489	92.929	95.044	94.228	1.193	10.971	5o45-200by5_78_dldesign_2_af2pred	True
SCORE:	0.388	2.519	4.975	3.552	93.37	94.736	94.23	1.826	10.581	5o45-200by5_136_dldesign_2_af2pred	True
SCORE:	0.549	2.612	4.985	3.538	93.045	94.784	94.042	1.089	12.194	5o45-200by5_29_dldesign_2_af2pred	True
SCORE:	0.425	2.368	4.995	3.516	93.36	94.687	94.195	1.434	10.976	5o45-200by5_136_dldesign_4_af2pred	True
SCORE:	0.475	2.536	5.003	3.447	94.166	95.167	94.753	2.912	11.438	5o45-200by5_133_dldesign_4_af2pred	True
SCORE:	0.319	2.083	5.018	3.445	94.693	94.895	94.821	1.499	10.315	5o45-200by5_19_dldesign_0_af2pred	True
SCORE:	0.326	2.527	5.032	3.555	92.436	94.337	93.593	0.653	10.956	5o45-200by5_68_dldesign_0_af2pred	True
SCORE:	0.923	2.575	5.054	3.559	93.941	94.775	94.419	1.813	12.213	5o45-200by5_44_dldesign_2_af2pred	True
SCORE:	0.402	2.419	5.061	3.424	93.6	94.863	94.321	1.231	12.21	5o45-200by5_198_dldesign_3_af2pred	True
SCORE:	0.773	2.153	5.07	3.48	92.278	94.614	93.763	1.033	10.449	5o45-200by5_35_dldesign_4_af2pred	True
SCORE:	0.457	2.455	5.095	3.589	92.174	94.577	93.732	0.967	10.294	5o45-200by5_10_dldesign_4_af2pred	True
SCORE:	0.959	2.99	5.101	3.602	94.384	94.935	94.715	2.599	11.335	5o45-200by5_172_dldesign_1_af2pred	True
SCORE:	0.341	2.976	5.131	3.555	90.894	94.636	93.319	0.922	10.732	5o45-200by5_100_dldesign_0_af2pred	True
SCORE:	0.475	2.566	5.133	3.512	93.101	94.856	94.159	2.873	11.586	5o45-200by5_153_dldesign_1_af2pred	True
SCORE:	0.494	2.173	5.141	3.379	95.579	95.238	95.387	1.594	11.859	5o45-200by5_23_dldesign_3_af2pred	True
SCORE:	0.472	2.41	5.162	3.551	92.659	94.269	93.625	1.244	10.955	5o45-200by5_93_dldesign_1_af2pred	True
SCORE:	0.406	2.342	5.164	3.581	93.361	94.217	93.882	1.075	10.954	5o45-200by5_68_dldesign_4_af2pred	True
SCORE:	0.431	2.716	5.167	3.626	93.365	94.616	94.133	1.951	11.111	5o45-200by5_3_dldesign_4_af2pred	True
SCORE:	0.943	2.545	5.177	3.554	92.916	94.474	93.809	1.657	12.107	5o45-200by5_32_dldesign_0_af2pred	True
SCORE:	0.421	2.468	5.179	3.597	92.371	94.513	93.732	1.024	10.656	5o45-200by5_173_dldesign_4_af2pred	True
SCORE:	0.424	2.857	5.179	3.558	91.615	94.537	93.509	1.411	10.515	5o45-200by5_100_dldesign_4_af2pred	True
SCORE:	0.506	2.725	5.184	3.494	93.297	94.473	93.965	1.868	12.152	5o45-200by5_81_dldesign_4_af2pred	True
SCORE:	0.656	2.459	5.225	3.534	93.109	94.505	93.92	1.995	11.632	5o45-200by5_156_dldesign_3_af2pred	True
SCORE:	0.582	2.45	5.226	3.449	91.841	94.588	93.416	3.286	11.865	5o45-200by5_79_dldesign_0_af2pred	True
SCORE:	0.359	2.578	5.247	3.465	92.984	94.596	93.912	1.025	11.418	5o45-200by5_121_dldesign_3_af2pred	True
SCORE:	1.136	2.603	5.279	3.515	91.522	94.293	93.103	1.941	12.042	5o45-200by5_64_dldesign_1_af2pred	False
SCORE:	0.509	2.421	5.298	3.492	93.417	94.723	94.205	2.88	11.78	5o45-200by5_153_dldesign_0_af2pred	True
SCORE:	0.821	2.792	5.316	3.436	90.441	94.743	93.022	1.943	11.699	5o45-200by5_93_dldesign_2_af2pred	True
SCORE:	1.082	3.238	5.323	3.543	94.274	95.026	94.715	1.538	12.125	5o45-200by5_113_dldesign_3_af2pred	False
SCORE:	0.653	2.422	5.324	3.501	93.039	94.419	93.834	1.936	11.793	5o45-200by5_121_dldesign_0_af2pred	True
SCORE:	0.445	2.298	5.325	3.639	94.548	94.374	94.449	2.977	11.955	5o45-200by5_76_dldesign_2_af2pred	True
SCORE:	0.536	2.132	5.331	3.469	94.517	94.584	94.555	0.971	12.365	5o45-200by5_9_dldesign_3_af2pred	True
SCORE:	0.982	2.885	5.336	3.547	92.478	94.549	93.82	1.559	11.123	5o45-200by5_71_dldesign_1_af2pred	True
SCORE:	0.488	2.511	5.339	3.66	92.534	94.459	93.706	1.266	11.093	5o45-200by5_87_dldesign_2_af2pred	True
SCORE:	0.484	2.581	5.348	3.556	92.258	94.54	93.633	2.271	189.783	5o45-200by5_153_dldesign_4_af2pred	True
SCORE:	0.787	2.893	5.354	3.602	91.964	94.484	93.497	1.353	11.253	5o45-200by5_68_dldesign_2_af2pred	True
SCORE:	0.431	2.389	5.355	3.611	94.345	94.469	94.415	2.735	12.188	5o45-200by5_76_dldesign_0_af2pred	True
SCORE:	0.404	2.549	5.357	3.421	93.817	94.879	94.44	2.085	11.888	5o45-200by5_1_dldesign_4_af2pred	True
SCORE:	0.565	3.075	5.357	3.771	92.411	94.03	93.435	2.157	10.577	5o45-200by5_155_dldesign_2_af2pred	True
SCORE:	0.584	2.534	5.366	3.601	93.171	94.344	93.853	1.903	11.835	5o45-200by5_156_dldesign_0_af2pred	True
SCORE:	0.443	2.154	5.37	3.468	95.21	94.63	94.883	1.042	12.41	5o45-200by5_90_dldesign_4_af2pred	True
SCORE:	0.536	2.867	5.399	3.527	90.179	94.353	92.885	1.434	10.413	5o45-200by5_100_dldesign_2_af2pred	True
SCORE:	0.465	2.935	5.411	3.746	92.411	94.006	93.42	0.826	10.962	5o45-200by5_155_dldesign_0_af2pred	True
SCORE:	0.406	2.198	5.424	3.567	92.926	94.294	93.759	5.606	11.366	5o45-200by5_87_dldesign_3_af2pred	True
SCORE:	0.758	3.891	5.443	3.541	89.258	94.601	92.604	1.256	10.982	5o45-200by5_134_dldesign_4_af2pred	True
SCORE:	0.555	2.471	5.453	3.464	93.044	94.74	93.999	0.901	12.079	5o45-200by5_90_dldesign_0_af2pred	True
SCORE:	0.421	2.604	5.462	3.374	93.775	95.028	94.51	1.707	11.482	5o45-200by5_1_dldesign_0_af2pred	True
SCORE:	0.672	2.973	5.468	3.41	92.722	94.833	93.921	2.294	12.193	5o45-200by5_165_dldesign_3_af2pred	True
SCORE:	0.61	2.644	5.486	3.535	91.842	94.422	93.405	1.746	11.546	5o45-200by5_96_dldesign_2_af2pred	True
SCORE:	0.438	2.54	5.489	3.62	92.662	94.381	93.755	0.925	11.114	5o45-200by5_173_dldesign_1_af2pred	True
SCORE:	0.852	2.913	5.496	3.723	91.596	93.915	93.063	2.644	10.642	5o45-200by5_155_dldesign_4_af2pred	True
SCORE:	0.482	2.757	5.5	3.487	91.649	94.759	93.559	1.045	11.242	5o45-200by5_78_dldesign_3_af2pred	True
SCORE:	0.548	2.455	5.521	3.656	94.295	94.553	94.448	3.853	11.483	5o45-200by5_170_dldesign_3_af2pred	True
SCORE:	0.648	2.627	5.545	3.633	92.052	94.125	93.313	1.575	11.264	5o45-200by5_68_dldesign_1_af2pred	True
SCORE:	0.516	2.692	5.584	3.355	90.538	94.698	92.913	1.667	11.886	5o45-200by5_198_dldesign_2_af2pred	True
SCORE:	0.442	2.578	5.596	3.463	92.679	94.713	93.888	0.704	11.431	5o45-200by5_28_dldesign_0_af2pred	True
SCORE:	0.444	2.491	5.6	3.58	91.729	93.984	93.148	2.076	11.193	5o45-200by5_136_dldesign_0_af2pred	True
SCORE:	0.416	2.652	5.609	3.366	93.571	95.111	94.474	0.825	11.85	5o45-200by5_1_dldesign_1_af2pred	True
SCORE:	0.411	2.352	5.612	3.442	92.02	94.53	93.599	0.609	11.021	5o45-200by5_107_dldesign_1_af2pred	True
SCORE:	0.342	2.852	5.616	3.58	91.35	94.308	93.158	1.266	10.89	5o45-200by5_118_dldesign_4_af2pred	True
SCORE:	0.451	2.53	5.624	3.639	92.926	94.426	93.879	1.3	10.756	5o45-200by5_173_dldesign_3_af2pred	True
SCORE:	0.689	2.832	5.629	3.518	89.007	94.303	92.372	1.12	10.672	5o45-200by5_35_dldesign_1_af2pred	True
SCORE:	0.907	2.57	5.629	3.64	93.392	94.235	93.875	1.735	11.814	5o45-200by5_44_dldesign_0_af2pred	True
SCORE:	0.462	2.709	5.646	3.596	90.997	94.389	93.041	2.978	11.153	5o45-200by5_153_dldesign_2_af2pred	True
SCORE:	0.528	2.264	5.647	3.464	93.271	94.331	93.882	1.993	11.997	5o45-200by5_121_dldesign_1_af2pred	True
SCORE:	0.565	2.719	5.651	3.54	92.169	94.223	93.374	2.352	11.554	5o45-200by5_161_dldesign_0_af2pred	True
SCORE:	0.663	2.737	5.667	3.596	91.282	94.386	93.294	2.014	10.552	5o45-200by5_71_dldesign_2_af2pred	True
SCORE:	0.947	2.907	5.691	3.547	90.772	94.399	92.88	1.723	11.647	5o45-200by5_156_dldesign_4_af2pred	True
SCORE:	0.91	3.273	5.704	3.594	87.916	94.079	91.871	1.911	11.024	5o45-200by5_101_dldesign_1_af2pred	True
SCORE:	0.714	2.336	5.707	3.505	93.457	94.417	94.01	2.422	12.221	5o45-200by5_121_dldesign_2_af2pred	True
SCORE:	0.615	3.339	5.74	3.709	91.932	94.227	93.383	2.042	10.565	5o45-200by5_129_dldesign_3_af2pred	True
SCORE:	0.427	2.715	5.761	3.568	92.678	94.008	93.433	1.659	12.18	5o45-200by5_81_dldesign_2_af2pred	True
SCORE:	0.461	2.512	5.767	3.497	92.376	94.427	93.552	0.997	12.229	5o45-200by5_29_dldesign_3_af2pred	True
SCORE:	0.374	2.853	5.775	3.589	90.699	94.101	92.789	1.682	10.959	5o45-200by5_3_dldesign_0_af2pred	True
SCORE:	0.553	2.447	5.784	3.534	92.051	94.267	93.374	0.892	11.405	5o45-200by5_183_dldesign_1_af2pred	True
SCORE:	0.565	2.48	5.784	3.562	93.368	93.945	93.706	1.657	11.41	5o45-200by5_161_dldesign_3_af2pred	True
SCORE:	0.458	2.581	5.803	3.46	93.962	94.913	94.52	0.826	151.498	5o45-200by5_1_dldesign_3_af2pred	True
SCORE:	0.966	3.216	5.806	3.525	92.479	94.445	93.632	2.778	11.733	5o45-200by5_113_dldesign_4_af2pred	True
SCORE:	0.69	3.01	5.838	3.548	90.107	94.127	92.541	1.911	11.337	5o45-200by5_96_dldesign_1_af2pred	True
SCORE:	0.466	3.049	5.897	3.526	89.502	94.209	92.508	2.708	10.676	5o45-200by5_52_dldesign_1_af2pred	True
SCORE:	1.31	3.549	5.897	3.599	91.824	94.209	93.223	2.779	11.507	5o45-200by5_113_dldesign_0_af2pred	False
SCORE:	0.468	2.638	5.928	3.595	90.924	93.873	92.736	1.506	11.14	5o45-200by5_3_dldesign_3_af2pred	True
SCORE:	0.408	2.439	5.93	3.585	93.626	94.164	93.93	2.573	12.265	5o45-200by5_76_dldesign_1_af2pred	True
SCORE:	1.014	3.536	5.93	3.744	89.147	93.942	92.15	1.827	10.772	5o45-200by5_33_dldesign_0_af2pred	False
SCORE:	0.428	2.983	5.937	3.621	91.456	94.112	93.178	1.038	10.588	5o45-200by5_88_dldesign_4_af2pred	True
SCORE:	0.713	2.648	5.96	3.562	91.062	94.305	93.143	1.004	10.492	5o45-200by5_178_dldesign_4_af2pred	True
SCORE:	0.754	2.687	5.983	3.451	91.265	94.483	93.094	1.559	11.611	5o45-200by5_7_dldesign_4_af2pred	True
SCORE:	0.524	2.275	5.988	3.582	91.705	93.929	93.058	1.873	10.828	5o45-200by5_154_dldesign_1_af2pred	True
SCORE:	0.324	2.135	5.995	3.573	94.29	94.05	94.154	2.012	12.244	5o45-200by5_50_dldesign_1_af2pred	True
SCORE:	0.999	2.431	6.001	3.62	92.495	93.943	93.321	1.475	12.502	5o45-200by5_64_dldesign_0_af2pred	True
SCORE:	0.726	2.121	6.004	3.511	94.366	94.227	94.288	1.053	190.911	5o45-200by5_90_dldesign_1_af2pred	True
SCORE:	1.09	3.721	6.005	3.627	88.908	94.33	92.102	2.155	11.294	5o45-200by5_43_dldesign_0_af2pred	False
SCORE:	0.46	3.217	6.007	3.545	90.579	94.55	92.876	1.089	11.998	5o45-200by5_12_dldesign_1_af2pred	True
SCORE:	0.514	3.227	6.045	3.612	89.904	94.033	92.465	8.355	10.966	5o45-200by5_95_dldesign_3_af2pred	True
SCORE:	0.912	3.719	6.059	3.512	90.57	94.772	93.201	1.165	10.969	5o45-200by5_134_dldesign_1_af2pred	True
SCORE:	0.537	3.243	6.066	3.633	87.499	93.852	91.576	1.117	10.511	5o45-200by5_101_dldesign_3_af2pred	True
SCORE:	0.739	3.723	6.072	3.677	85.97	93.905	91.062	1.348	10.898	5o45-200by5_101_dldesign_4_af2pred	True
SCORE:	0.499	2.044	6.08	3.543	94.242	93.813	93.99	1.794	11.382	5o45-200by5_161_dldesign_1_af2pred	True
SCORE:	0.757	2.388	6.099	3.521	92.431	93.911	93.291	4.287	11.49	5o45-200by5_187_dldesign_3_af2pred	True
SCORE:	0.282	2.31	6.119	3.603	93.589	93.871	93.749	2.71	12.277	5o45-200by5_50_dldesign_4_af2pred	True
SCORE:	0.684	3.158	6.123	3.483	91.303	94.846	93.577	2.57	10.491	5o45-200by5_25_dldesign_4_af2pred	True
SCORE:	0.549	3.429	6.143	3.592	89.072	94.374	92.509	2.248	10.796	5o45-200by5_138_dldesign_4_af2pred	True
SCORE:	1.045	4.026	6.155	3.584	91.417	94.475	93.21	1.545	11.635	5o45-200by5_113_dldesign_1_af2pred	False
SCORE:	0.739	2.718	6.163	3.539	91.235	93.638	92.631	3.998	11.962	5o45-200by5_187_dldesign_2_af2pred	True
SCORE:	0.433	3.177	6.171	3.506	89.821	94.325	92.45	1.462	11.473	5o45-200by5_189_dldesign_0_af2pred	True
SCORE:	0.503	3.025	6.181	3.532	88.2	94.079	91.728	0.874	11.558	5o45-200by5_93_dldesign_4_af2pred	True
SCORE:	0.682	3.946	6.185	3.798	87.806	93.67	91.478	1.162	10.735	5o45-200by5_33_dldesign_4_af2pred	True
SCORE:	0.489	2.236	6.193	3.59	91.982	93.93	93.19	3.101	11.634	5o45-200by5_103_dldesign_4_af2pred	True
SCORE:	0.57	3.125	6.221	3.646	90.196	94.019	92.489	1.766	11.685	5o45-200by5_112_dldesign_2_af2pred	True
SCORE:	0.675	3.029	6.226	3.579	87.9	93.563	91.481	1.728	10.837	5o45-200by5_102_dldesign_1_af2pred	True
SCORE:	0.59	2.924	6.242	3.708	89.78	93.934	92.473	2.673	10.475	5o45-200by5_71_dldesign_0_af2pred	True
SCORE:	0.639	3.197	6.248	3.522	90.07	94.21	92.476	6.393	11.836	5o45-200by5_187_dldesign_0_af2pred	True
SCORE:	0.545	2.866	6.251	3.617	92.384	94.241	93.488	3.28	12.07	5o45-200by5_170_dldesign_4_af2pred	True
SCORE:	0.405	2.673	6.263	3.711	90.731	93.82	92.704	1.898	184.626	5o45-200by5_52_dldesign_4_af2pred	True
SCORE:	0.727	3.24	6.27	3.576	89.636	94.404	92.727	2.579	20.463	5o45-200by5_138_dldesign_1_af2pred	True
SCORE:	0.471	2.777	6.275	3.627	92.397	94.228	93.485	1.102	11.33	5o45-200by5_170_dldesign_0_af2pred	True
SCORE:	0.871	3.944	6.279	3.678	90.65	94.21	92.901	1.787	11.072	5o45-200by5_77_dldesign_0_af2pred	True
SCORE:	0.457	2.654	6.287	3.574	92.558	94.268	93.575	1.632	11.682	5o45-200by5_15_dldesign_4_af2pred	True
SCORE:	0.515	2.374	6.294	3.497	93.762	94.261	94.043	1.004	12.313	5o45-200by5_90_dldesign_2_af2pred	True
SCORE:	0.509	3.815	6.31	3.367	89.405	94.722	92.426	1.81	11.954	5o45-200by5_165_dldesign_4_af2pred	True
SCORE:	0.44	2.397	6.322	3.566	91.911	93.747	93.013	3.828	11.267	5o45-200by5_119_dldesign_4_af2pred	True
SCORE:	0.463	2.953	6.358	3.435	92.095	94.471	93.445	1.885	11.734	5o45-200by5_165_dldesign_1_af2pred	True
SCORE:	0.665	3.508	6.368	3.478	90.675	94.871	93.368	1.978	10.548	5o45-200by5_25_dldesign_0_af2pred	True
SCORE:	0.479	2.489	6.378	3.583	91.967	93.835	93.088	2.044	11.206	5o45-200by5_119_dldesign_2_af2pred	True
SCORE:	0.583	3.114	6.388	3.64	88.471	93.574	91.533	1.899	11.011	5o45-200by5_152_dldesign_3_af2pred	True
SCORE:	0.59	3.101	6.423	3.77	88.377	93.712	91.593	2.971	11.079	5o45-200by5_153_dldesign_3_af2pred	True
SCORE:	0.667	3.598	6.45	3.484	87.935	94.307	91.945	2.068	10.718	5o45-200by5_124_dldesign_0_af2pred	True
SCORE:	0.611	3.097	6.46	3.578	90.655	93.813	92.482	2.208	11.579	5o45-200by5_190_dldesign_0_af2pred	True
SCORE:	0.796	3.426	6.46	3.684	86.512	93.606	91.065	1.865	10.492	5o45-200by5_101_dldesign_2_af2pred	True
SCORE:	0.822	2.379	6.46	3.514	92.107	93.974	93.227	1.544	11.182	5o45-200by5_93_dldesign_3_af2pred	True
SCORE:	0.723	3.599	6.467	3.587	88.578	94.439	92.303	1.022	11.025	5o45-200by5_173_dldesign_0_af2pred	True
SCORE:	0.469	3.19	6.486	3.612	91.254	94.208	93.169	1.526	10.528	5o45-200by5_88_dldesign_3_af2pred	True
SCORE:	0.701	2.924	6.501	3.465	89.389	94.127	92.105	3.142	11.975	5o45-200by5_79_dldesign_4_af2pred	True
SCORE:	0.58	2.886	6.51	3.542	92.384	94.141	93.429	2.049	11.656	5o45-200by5_82_dldesign_2_af2pred	True
SCORE:	0.853	2.995	6.55	3.758	92.585	93.88	93.392	8.395	11.517	5o45-200by5_174_dldesign_0_af2pred	True
SCORE:	1.431	3.919	6.582	3.462	85.585	94.482	90.898	1.697	11.512	5o45-200by5_192_dldesign_1_af2pred	False
SCORE:	0.697	3.665	6.587	3.52	88.622	93.991	91.742	1.375	12.08	5o45-200by5_85_dldesign_0_af2pred	True
SCORE:	0.417	2.947	6.592	3.513	88.542	93.879	91.671	1.348	11.601	5o45-200by5_161_dldesign_4_af2pred	True
SCORE:	1.054	3.157	6.613	3.529	92.708	94.376	93.686	2.074	12.057	5o45-200by5_113_dldesign_2_af2pred	False
SCORE:	0.531	3.781	6.665	3.658	87.266	93.678	90.975	3.232	12.433	5o45-200by5_190_dldesign_1_af2pred	True
SCORE:	0.366	3.028	6.668	3.666	89.521	93.476	91.951	1.926	11.51	5o45-200by5_3_dldesign_1_af2pred	True
SCORE:	0.5	4.291	6.679	3.569	87.768	94.431	91.961	1.946	11.036	5o45-200by5_124_dldesign_4_af2pred	True
SCORE:	2.968	3.515	6.68	3.697	86.881	93.867	90.978	4.964	11.426	5o45-200by5_133_dldesign_3_af2pred	False
SCORE:	0.672	3.255	6.682	3.749	89.665	93.471	92.072	2.515	10.616	5o45-200by5_155_dldesign_1_af2pred	True
SCORE:	0.516	2.81	6.719	3.538	90.621	93.944	92.56	1.761	11.94	5o45-200by5_189_dldesign_3_af2pred	True
SCORE:	0.951	3.137	6.724	3.604	87.023	93.488	91.112	5.344	10.651	5o45-200by5_102_dldesign_3_af2pred	True
SCORE:	0.712	3.355	6.755	3.751	89.211	93.729	92.125	2.674	10.471	5o45-200by5_14_dldesign_3_af2pred	True
SCORE:	0.626	3.796	6.765	3.691	86.865	94.086	91.546	2.247	10.188	5o45-200by5_138_dldesign_0_af2pred	True
SCORE:	0.484	2.408	6.774	3.629	92.495	93.685	93.209	1.74	11.37	5o45-200by5_119_dldesign_0_af2pred	True
SCORE:	0.578	3.166	6.782	3.551	88.795	94.118	91.916	1.181	11.771	5o45-200by5_22_dldesign_1_af2pred	True
SCORE:	0.48	3.322	6.79	3.681	89.682	93.806	92.29	2.412	10.881	5o45-200by5_155_dldesign_3_af2pred	True
SCORE:	0.608	2.483	6.792	3.537	92.128	94.283	93.386	1.144	11.92	5o45-200by5_141_dldesign_0_af2pred	True
SCORE:	0.396	2.237	6.799	3.496	91.803	94.201	93.29	2.481	10.757	5o45-200by5_103_dldesign_2_af2pred	True
SCORE:	0.624	2.69	6.819	3.609	88.88	93.766	92.0	6.73	10.681	5o45-200by5_194_dldesign_4_af2pred	True
SCORE:	0.319	2.194	6.845	3.589	93.899	93.932	93.918	1.184	12.849	5o45-200by5_50_dldesign_3_af2pred	True
SCORE:	0.418	3.004	6.865	3.603	89.93	94.106	92.495	0.985	11.181	5o45-200by5_78_dldesign_0_af2pred	True
SCORE:	0.686	3.93	6.888	3.748	84.9	93.442	90.198	8.605	11.029	5o45-200by5_95_dldesign_4_af2pred	True
SCORE:	0.913	2.939	6.942	3.68	89.307	93.429	91.913	3.256	10.717	5o45-200by5_18_dldesign_3_af2pred	True
SCORE:	0.43	3.107	6.945	3.554	89.702	93.957	92.255	1.249	11.263	5o45-200by5_112_dldesign_1_af2pred	True
SCORE:	0.883	4.094	6.986	3.482	87.027	94.372	91.334	2.778	12.312	5o45-200by5_42_dldesign_0_af2pred	True
SCORE:	0.92	3.384	6.991	3.874	91.272	93.316	92.546	9.244	11.217	5o45-200by5_174_dldesign_2_af2pred	True
SCORE:	0.466	2.59	6.998	3.565	92.219	94.067	93.298	1.053	11.982	5o45-200by5_141_dldesign_2_af2pred	True
SCORE:	0.826	2.989	7.0	3.572	90.858	93.965	92.705	1.428	11.213	5o45-200by5_28_dldesign_4_af2pred	True
SCORE:	0.948	3.965	7.007	3.785	89.926	93.87	92.42	2.599	10.646	5o45-200by5_77_dldesign_3_af2pred	True
SCORE:	0.938	4.006	7.027	3.859	86.271	93.268	90.652	1.458	10.519	5o45-200by5_33_dldesign_1_af2pred	True
SCORE:	0.591	2.366	7.037	3.496	92.465	93.973	93.329	3.085	11.976	5o45-200by5_79_dldesign_1_af2pred	True
SCORE:	0.805	3.696	7.041	3.551	87.26	94.116	91.355	1.32	11.43	5o45-200by5_192_dldesign_4_af2pred	True
SCORE:	0.673	2.636	7.058	3.512	89.718	93.997	92.398	2.354	10.794	5o45-200by5_110_dldesign_4_af2pred	True
SCORE:	0.922	3.026	7.088	3.706	90.81	93.488	92.479	2.771	189.428	5o45-200by5_174_dldesign_3_af2pred	True
SCORE:	0.624	3.326	7.091	3.629	88.765	93.827	91.747	1.364	11.611	5o45-200by5_43_dldesign_4_af2pred	True
SCORE:	0.384	3.045	7.14	3.577	88.357	94.064	91.719	0.693	11.42	5o45-200by5_31_dldesign_1_af2pred	True
